SUB,SAMPLE_NAME,REG
Mende,HG03391,WA
Mende,HG03394,WA
Mende,HG03397,WA
Mende,HG03401,WA
Mende,HG03410,WA
Mende,HG03419,WA
Mende,HG03428,WA
Mende,HG03432,WA
Mende,HG03433,WA
Mende,HG03436,WA
Mende,HG03437,WA
Mende,HG03439,WA
Mende,HG03442,WA
Mende,HG03445,WA
Mende,HG03446,WA
Mende,HG03449,WA
Mende,HG03451,WA
Mende,HG03452,WA
Mende,HG03454,WA
Mende,HG03455,WA
Mende,HG03458,WA
Mende,HG03460,WA
Mende,HG03461,WA
Mende,HG03469,WA
Mende,HG03470,WA
Mende,HG03472,WA
Mende,HG03473,WA
Mende,HG03476,WA
Mende,HG03480,WA
Mende,HG03484,WA
Mende,HG03485,WA
Esan,HG03499,WA
Esan,HG03514,WA
Esan,HG03515,WA
Esan,HG03517,WA
Esan,HG03518,WA
Esan,HG03520,WA
Esan,HG03521,WA
Mandinka,HG03538,WA
Mandinka,HG03539,WA
Mende,HG03547,WA
Mende,HG03548,WA
Mende,HG03556,WA
Mende,HG03557,WA
Mende,HG03558,WA
Mende,HG03559,WA
Mende,HG03563,WA
Mende,HG03565,WA
Mende,HG03567,WA
Mende,HG03571,WA
Mende,HG03572,WA
Mende,HG03576,WA
Mende,HG03577,WA
Mende,HG03578,WA
Mende,HG03582,WA
Mende,HG03583,WA
Mbuti Pygmy,HGDP00450,CA
Biaka Pygmy,HGDP00452,CA
Biaka Pygmy,HGDP00453,CA
Biaka Pygmy,HGDP00454,CA
Biaka Pygmy,HGDP00455,CA
Biaka Pygmy,HGDP00458,CA
Biaka Pygmy,HGDP00459,CA
Biaka Pygmy,HGDP00460,CA
Mbuti Pygmy,HGDP00462,CA
Mbuti Pygmy,HGDP00463,CA
Biaka Pygmy,HGDP00464,CA
Biaka Pygmy,HGDP00465,CA
Biaka Pygmy,HGDP00466,CA
Mbuti Pygmy,HGDP00467,CA
Biaka Pygmy,HGDP00469,CA
Biaka Pygmy,HGDP00470,CA
Mbuti Pygmy,HGDP00471,CA
Biaka Pygmy,HGDP00472,CA
Biaka Pygmy,HGDP00473,CA
Biaka Pygmy,HGDP00475,CA
Mbuti Pygmy,HGDP00478,CA
Mandenka,HGDP00904,WA
Mandenka,HGDP00905,WA
Mandenka,HGDP00906,WA
Mandenka,HGDP00907,WA
Mandenka,HGDP00908,WA
Mandenka,HGDP00909,WA
Mandenka,HGDP00910,WA
Mandenka,HGDP00911,WA
Mandenka,HGDP00912,WA
Mandenka,HGDP00914,WA
Mandenka,HGDP00916,WA
Mandenka,HGDP00917,WA
Mandenka,HGDP00918,WA
Mandenka,HGDP00919,WA
Yoruba,HGDP00920,WA
Yoruba,HGDP00924,WA
Yoruba,HGDP00925,WA
Yoruba,HGDP00926,WA
Yoruba,HGDP00929,WA
Yoruba,HGDP00930,WA
Yoruba,HGDP00931,WA
Yoruba,HGDP00933,WA
Yoruba,HGDP00934,WA
Yoruba,HGDP00935,WA
Yoruba,HGDP00937,WA
Yoruba,HGDP00938,WA
Yoruba,HGDP00939,WA
Yoruba,HGDP00940,WA
Yoruba,HGDP00941,WA
Yoruba,HGDP00942,WA
Yoruba,HGDP00943,WA
Yoruba,HGDP00944,WA
Mbuti Pygmy,HGDP00983,CA
Mbuti Pygmy,HGDP00984,CA
Biaka Pygmy,HGDP00985,CA
Biaka Pygmy,HGDP00986,CA
San,HGDP00992,SA
Bantu South Africa,HGDP00993,SA
Bantu South Africa,HGDP00994,SA
San,HGDP01029,SA
Bantu South Africa,HGDP01031,SA
Bantu South Africa,HGDP01033,SA
Mbuti Pygmy,HGDP01081,CA
Biaka Pygmy,HGDP01086,CA
Biaka Pygmy,HGDP01090,CA
Biaka Pygmy,HGDP01092,CA
Biaka Pygmy,HGDP01094,CA
Mandenka,HGDP01200,WA
Mandenka,HGDP01201,WA
Mandenka,HGDP01202,WA
Mandenka,HGDP01283,WA
Bantu Kenya,HGDP01405,EA
Bantu Kenya,HGDP01406,EA
Bantu Kenya,HGDP01408,EA
Bantu Kenya,HGDP01413,EA
Bantu Kenya,HGDP01415,EA
Bantu Kenya,HGDP01416,EA
Bantu Kenya,HGDP01418,EA
Bantu Kenya,HGDP01419,EA
Mbuti Pygmy,LP6005441-DNA-A08,CA
San,LP6005441-DNA-A11,SA
Bantu Kenya,LP6005441-DNA-B02,EA
Mbuti Pygmy,LP6005441-DNA-B08,CA
San,LP6005441-DNA-B11,SA
Mandenka,LP6005441-DNA-E07,WA
Bantu South Africa,LP6005441-DNA-F01,SA
Biaka Pygmy,LP6005441-DNA-H02,CA
Yoruba,LP6005442-DNA-A02,WA
Yoruba,LP6005442-DNA-B02,WA
Bantu Kenya,LP6005443-DNA-A01,EA
Bantu South Africa,LP6005443-DNA-E02,SA
Bantu South Africa,LP6005443-DNA-F02,SA
Bantu South Africa,LP6005443-DNA-G02,SA
San,LP6005443-DNA-G08,SA
Mbuti Pygmy,LP6005592-DNA-C03,CA
Yoruba,NA18486,WA
Yoruba,NA18487,WA
Yoruba,NA18488,WA
Yoruba,NA18489,WA
Yoruba,NA18498,WA
Yoruba,NA18499,WA
Yoruba,NA18501,WA
Yoruba,NA18502,WA
Yoruba,NA18504,WA
Yoruba,NA18505,WA
Yoruba,NA18507,WA
Yoruba,NA18508,WA
Yoruba,NA18510,WA
Yoruba,NA18511,WA
Yoruba,NA18516,WA
Yoruba,NA18517,WA
Yoruba,NA18519,WA
Yoruba,NA18520,WA
Yoruba,NA18522,WA
Yoruba,NA18523,WA
Yoruba,NA18852,WA
Yoruba,NA18853,WA
Yoruba,NA18855,WA
Yoruba,NA18856,WA
Yoruba,NA18858,WA
Yoruba,NA18859,WA
Yoruba,NA18861,WA
Yoruba,NA18862,WA
Yoruba,NA18865,WA
Yoruba,NA18867,WA
Yoruba,NA18868,WA
Yoruba,NA18870,WA
Yoruba,NA18871,WA
Yoruba,NA18873,WA
Yoruba,NA18874A,WA
Yoruba,NA18876,WA
Yoruba,NA18877,WA
Yoruba,NA18878,WA
Yoruba,NA18879,WA
Yoruba,NA18881,WA
Yoruba,NA18907,WA
Yoruba,NA18908,WA
Yoruba,NA18909,WA
Yoruba,NA18910,WA
Yoruba,NA18912,WA
Yoruba,NA18913,WA
Yoruba,NA18915,WA
Yoruba,NA18916,WA
Yoruba,NA18917,WA
Yoruba,NA18923,WA
Yoruba,NA18924,WA
Yoruba,NA18933,WA
Yoruba,NA18934,WA
Luhya,NA19017,EA
Luhya,NA19019,EA
Luhya,NA19020,EA
Luhya,NA19023,EA
Luhya,NA19024,EA
Luhya,NA19026,EA
Luhya,NA19027,EA
Luhya,NA19028,EA
Luhya,NA19030,EA
Luhya,NA19031,EA
Luhya,NA19035,EA
Luhya,NA19036,EA
Luhya,NA19037,EA
Luhya,NA19038,EA
Luhya,NA19041,EA
Luhya,NA19043,EA
Yoruba,NA19092,WA
Yoruba,NA19093,WA
Yoruba,NA19095,WA
Yoruba,NA19096,WA
Yoruba,NA19098,WA
Yoruba,NA19099,WA
Yoruba,NA19102,WA
Yoruba,NA19107,WA
Yoruba,NA19108,WA
Yoruba,NA19113,WA
Yoruba,NA19114,WA
Yoruba,NA19116,WA
Yoruba,NA19117,WA
Yoruba,NA19118,WA
Yoruba,NA19119,WA
Yoruba,NA19121,WA
Yoruba,NA19122,WA
Yoruba,NA19127,WA
Yoruba,NA19128,WA
Yoruba,NA19130,WA
Yoruba,NA19131,WA
Yoruba,NA19137,WA
Yoruba,NA19138,WA
Yoruba,NA19140,WA
Yoruba,NA19141,WA
Yoruba,NA19143,WA
Yoruba,NA19144,WA
Yoruba,NA19146,WA
Yoruba,NA19147,WA
Yoruba,NA19149,WA
Yoruba,NA19150,WA
Yoruba,NA19152,WA
Yoruba,NA19153,WA
Yoruba,NA19159,WA
Yoruba,NA19160,WA
Yoruba,NA19171,WA
Yoruba,NA19172,WA
Yoruba,NA19177,WA
Yoruba,NA19184,WA
Yoruba,NA19185,WA
Yoruba,NA19189,WA
Yoruba,NA19190,WA
Yoruba,NA19197,WA
Yoruba,NA19198,WA
Yoruba,NA19200,WA
Yoruba,NA19201,WA
Yoruba,NA19203,WA
Yoruba,NA19204,WA
Yoruba,NA19206,WA
Yoruba,NA19207,WA
Yoruba,NA19209,WA
Yoruba,NA19210,WA
Yoruba,NA19213,WA
Yoruba,NA19214,WA
Yoruba,NA19222,WA
Yoruba,NA19223,WA
Yoruba,NA19224,WA
Yoruba,NA19235,WA
Yoruba,NA19236,WA
Yoruba,NA19239,WA
Yoruba,NA19247,WA
Yoruba,NA19248,WA
Yoruba,NA19256,WA
Yoruba,NA19257,WA
Luhya,NA19308,EA
Luhya,NA19309,EA
Luhya,NA19310,EA
Luhya,NA19312,EA
Luhya,NA19314,EA
Luhya,NA19315,EA
Luhya,NA19316,EA
Luhya,NA19317,EA
Luhya,NA19318,EA
Luhya,NA19319,EA
Luhya,NA19320,EA
Luhya,NA19321,EA
Luhya,NA19323,EA
Luhya,NA19324,EA
Luhya,NA19327,EA
Luhya,NA19328,EA
Luhya,NA19331,EA
Luhya,NA19338,EA
Luhya,NA19346,EA
Luhya,NA19347,EA
Luhya,NA19350,EA
Luhya,NA19351,EA
Luhya,NA19355,EA
Luhya,NA19360,EA
Luhya,NA19372,EA
Luhya,NA19374,EA
Luhya,NA19375,EA
Luhya,NA19376,EA
Luhya,NA19377,EA
Luhya,NA19378,EA
Luhya,NA19379,EA
Luhya,NA19380,EA
Luhya,NA19383,EA
Luhya,NA19384,EA
Luhya,NA19385,EA
Luhya,NA19390,EA
Luhya,NA19391,EA
Luhya,NA19393,EA
Luhya,NA19394,EA
Luhya,NA19397,EA
Luhya,NA19399,EA
Luhya,NA19401,EA
Luhya,NA19403,EA
Luhya,NA19404,EA
Luhya,NA19428,EA
Luhya,NA19429,EA
Luhya,NA19430,EA
Luhya,NA19431,EA
Luhya,NA19435,EA
Luhya,NA19436,EA
Luhya,NA19437,EA
Luhya,NA19438,EA
Luhya,NA19439,EA
Luhya,NA19440,EA
Luhya,NA19443,EA
Luhya,NA19445,EA
Luhya,NA19446,EA
Luhya,NA19448,EA
Luhya,NA19449,EA
Luhya,NA19451,EA
Luhya,NA19452,EA
Luhya,NA19454,EA
Luhya,NA19455,EA
Luhya,NA19456,EA
Luhya,NA19457,EA
Luhya,NA19461,EA
Luhya,NA19462,EA
Luhya,NA19463,EA
Luhya,NA19466,EA
Luhya,NA19467,EA
Luhya,NA19468,EA
Luhya,NA19471,EA
Luhya,NA19472,EA
Luhya,NA19473,EA
Luhya,NA19474,EA
Luhya,NA19475,EA
Mandenka,SS6004470,WA
San,SS6004473,SA
Yoruba,SS6004475,WA
